,names,countries,min_order,delivery_fee,amount_of_rankers,delivery_time_MAX,ranking
373, Sydney Pie Cafe ,Australia,0,1.3134,164,35,5.18
374, Taiwanese Express Meal - Kingsford ,Australia,0,3.2934,52,50,5.18
375, Wok Man Redfern ,Australia,0,3.2934,15,45,5.04
376, Teddy Tea Break - Newtown ,Australia,0,2.6334,5,35,5
377, Cafe Newtown ,Australia,0,1.9734,1,35,1
378, Tre Viet Restaurant ,Australia,0,2.6334,77,35,4.61
379, Zinnia De Chinta ,Australia,0,3.2934,18,20,4.2
380, Le Rendez-Vous Cafe Patisserie - Randwick ,Australia,0,3.2934,31,35,5.61
381, Princess Table ,Australia,0,1.3134,64,35,4.03
382, Ozturk Jnr ,Australia,0,1.9734,2,35,3.5
383, Paradise Bakery Cafe ,Australia,0,3.2934,13,35,4.46
384, Metro Kebab ,Australia,0,1.9734,12,35,2.58
385, Dumpling Brothers Chinese Restaurant ,Australia,0,2.6334,25,35,4.95
386, Nineteen43 ,Australia,0,1.9734,6,35,3.61
387, Ben & Jerry's By Pure ,Australia,0,3.2934,14,35,5.62
388, Best Gourmet Restaurant ,Australia,19.8,,131,35,4.56
389, On Rice - Darlinghurst ,Australia,0,3.2934,12,35,4.44
390, Taste of Turkey ,Australia,0,1.3134,1,35,5
391, Yum House ,Australia,0,2.6334,5,35,3.33
392, Harry's Cafe de Wheels - Tempe ,Australia,0,2.6334,4,35,5.33
393, Noodles & Dumplings Chain ,Australia,0,3.2934,4,20,5.58
394, Delhi 'O' Delhi Vegan ,Australia,0,2.9634,19,35,4.33
395, Prodigy Cafe ,Australia,0,0.6534,27,35,4.54
396, Eastgardens Dumpling and Noodle Bar ,Australia,0,2.6334,6,35,5.17
