,names,countries,min_order,delivery_fee,amount_of_rankers,delivery_time_MAX,ranking
397, Piatsa Pizza Cafe - Express ,Australia,0,2.9634,1,35,1.67
398, Taisho Wagyu Japanese BBQ ,Australia,0,2.6334,65,35,4.63
399, Killiney Kopitiam - Central Park ,Australia,0,1.3134,71,35,5.12
400, Chu's Dumpling House ,Australia,0,1.9734,2,35,5.17
401, Sparrow's Mill Express ,Australia,0,2.6334,8,35,4.08
402, Couch Potato Fuelled by bp Botany ,Australia,0,1.3134,9,35,4.11
403, Mascot Fresh Kitchen ,Australia,0,1.9734,1,35,2.67
404, The Gardens Cafe - World Square ,Australia,0,2.9634,12,35,3.28
405, Like Noodle - Wolli Creek ,Australia,0,2.6334,30,35,2.94
406, Nguyen Brothers - Alexandria ,Australia,0,3.2934,14,35,4.21
407, North Sandwiches & Burgers - Eveleigh ,Australia,0,3.2934,86,35,4.71
408, China Fusion ,Australia,0,2.6334,1,35,2
409, Angry Tony's Pizza Mascot ,Australia,0,1.3134,18,35,4.85
410, Food Snack ,Australia,0,1.9734,5,20,4.13
411, Tanshin Sushi Bar ,Australia,0,3.2934,4,35,6
412, 88 Asian Food ,Australia,0,3.2934,1,35,4.33
413, Hoochie Mamma Cafe ,Australia,0,3.2934,6,35,3.78
414, Dark Matter ,Australia,0,2.6334,14,35,2.71
415, Goobne - Zetland ,Australia,0,1.9734,4,35,5.75
416, Delish Pork Roll - Newtown ,Australia,0,3.2934,5,35,5.53
417, Desserts2u - Rosebery ,Australia,0,3.2934,7,35,4.71
418, Shepherds Artisan Bakehouse - Marrickville ,Australia,0,3.9534,3,35,6
419, Isabella's Italian & Seafood Restaurant ,Australia,0,1.9734,321,35,4.9
420, C'ya Restaurant - Cafe C'ya ,Australia,0,3.2934,1062,35,4.52
421, Machi Machi - Central Park ,Australia,0,1.9734,8,35,5.21
422, Dr Munchies ,Australia,0,3.2934,3,35,4.56
423, Rice Pantry ,Australia,0,3.2934,8,35,5.92
424, Happy Chef Noodle Restaurant ,Australia,0,2.3034,4,35,4.25
425, Tawandang ,Australia,0,1.9734,34,35,5.53
426, Suke Sushi & Poke - Surry Hills ,Australia,0,3.2934,5,35,4.4
427, Oliver Brown - Zetland ,Australia,0,3.9534,433,35,4.81
428, Bion Societe Cafe ,Australia,0,2.6334,9,35,4.44
429, Chippendale Scoop ,Australia,0,3.9534,4,35,5.5
430, Five Points Burger - Sydney ,Australia,0,3.9534,7,35,3.05
431, PappaRich - UTS Express ,Australia,0,3.2934,11,35,5.7
432, Mega Gyros ,Australia,0,3.2934,5,35,3.93
433, Nutrition Station - Alexandria ,Australia,0,3.2934,11,35,4.67
434, Angry Bbq ,Australia,0,0.6534,2,35,6
435, Kyo-to ,Australia,0,3.2934,6,35,2.72
436, Hungry Chef's Cafe ,Australia,0,3.2934,1,35,5.67
437, Baba Wu - Newtown ,Australia,0,1.9734,1,35,5.67
438, Criniti's - Darling Harbour ,Australia,0,3.2934,2,35,5
439, Flying Saucer Vegan Pizza - Chippendale ,Australia,0,3.2934,13,35,4.15
440, Bread n More Bakery and Cafe - Surry Hills ,Australia,0,3.2934,9,35,4.59
441, Lokanta ,Australia,0,2.6334,2,35,1.5
442, Mumbai Express - Broadway ,Australia,0,1.3134,8,35,5.33
443, Easilive Supermarket ,Australia,0,0.6534,16,35,4.4
444, The Balkan Butler ,Australia,0,2.6334,5,35,2.8
445, Jorjarn ,Australia,0,2.6334,3,35,4.67
446, Dim Sim & More ,Australia,0,3.2934,4,35,3.92
447, Oriental Dumpling & Noodle King ,Australia,0,3.2934,4,35,5.92
448, JiaoJiaoXiaoYu - Haymarket ,Australia,0,3.2934,3,35,5.56
449, Long Piano Bar and Restaurant ,Australia,0,3.9534,4,35,4.92
450, Wolli Creek Dumplings ,Australia,0,3.2934,1,35,6
451, Longmenzhu Noodle Bar ,Australia,0,3.9534,5,35,5.93
452, Fresh Q Mart ,Australia,0,3.2934,2,35,3.5
453, Charles Thai Express ,Australia,0,2.6334,6,35,2.28
454, Buon Gusto ,Australia,0,1.9734,4,35,2.92
455, Bambino Torino Pizza ,Australia,0,3.2934,6,35,3.33
456, Little Spoon ,Australia,0,3.2934,4,35,4.17
457, Like Noodle - Kingsford ,Australia,0,3.2934,3,35,3.78
458, IZGREV Burek ,Australia,0,3.2934,2,35,5.84
459, Gotcha Fresh Tea - Sydney China Town ,Australia,0,1.9734,13,35,5.59
460, Haak Eatery ,Australia,0,3.9534,4,35,4
461, Bavarian - World Square ,Australia,0,1.9734,3,35,4.33
462, Angry Tony's Pizza ,Australia,0,3.2934,13,35,5.38
463, Forest Lodge Cafe ,Australia,0,3.2934,5,35,3.2
464, Dr Mushroom ,Australia,0,3.2934,1,35,2.33
465, 258 Sushi Train ,Australia,0,3.2934,2,35,3.17
466, Bang Luck ,Australia,0,3.2934,1,35,6
467, Dudley's Charcoal Chicken ,Australia,0,1.3134,3,35,4.33
468, Grounded XO ,Australia,0,0.6534,2,35,1.84
469, Ikhwan Cafe - Sydney ,Australia,0,1.9734,3,35,4.22
470, Brew House Espresso ,Australia,0,3.9534,1,35,6
471, Winghaus - World Square ,Australia,0,3.2934,2,35,3.5
472, LV Kafe - Marrickville ,Australia,0,0.6534,10,35,4.5
473, Shanghai Dumpling - Chippendale ,Australia,0,3.2934,48,35,4.83
474, Little Sichuan Canton ,Australia,0,3.2934,3,35,2.56
475, Uliveto Pizza Pasta ,Australia,0,0.6534,6,35,3.56
476, The Small Lemongrass ,Australia,0,1.9734,5,35,2.6
477, Sizzling King ,Australia,0,1.9734,2,35,5
478, Cafe 101 ,Australia,0,0.6534,6,35,5.22
479, Rosebery Express Mart - Rosebery ,Australia,0,1.9734,4,35,4
480, Griddle King - Zetland ,Australia,0,2.6334,1,35,6
481, Blue Fish ,Australia,0,1.9734,4,35,4.42
482, Presse Cafe - Surry Hills ,Australia,0,3.2934,2,35,6
483, Kensington Supermarket - Anzac Pde ,Australia,0,1.9734,2,35,5.17
484, Griddle King - Chippendale ,Australia,0,3.2934,1,35,6
485, Top Juice - World Square ,Australia,0,2.6334,12,35,4.17
486, Buddy's Convenience Store - Darlinghurst ,Australia,0,1.9734,2,35,2
487, ChinaBowl ,Australia,0,1.9734,3,35,3.89
488, Cafe 506 ,Australia,0,0.6534,1,35,3.67
489, Juiced Up Nutrition ,Australia,0,0.6534,1,35,1
490, Pasta Italiano ,Australia,0,2.6334,4,35,3.08
491, We Do Fried Chicken - Wolli Creek ,Australia,0,2.6334,1,35,5.33
492, Wah Wah Lounge Cafe ,Australia,0,3.2934,11,35,4.3
493, Orchid Kitchen ,Australia,0,3.2934,31,35,4.61
494," Finger Lick""n Hayes Chix ",Australia,0,0.6534,11,35,5.15
495, La Vie Coffee Shop ,Australia,0,3.2934,1,35,6
496, Oz Take Away ,Australia,0,1.9734,1,35,2
497, Luxe - Waterloo ,Australia,0,0.6534,7,35,3.24
498, Shots n Sugar ,Australia,0,3.2934,1,35,5.67
499, Buddy's Convenience Store - Pyrmont ,Australia,0,3.2934,1,35,3
500, Quick and Ezy Mart ,Australia,0,3.2934,23,35,4.43
501, La Cantina Mascot ,Australia,0,3.2934,3,35,5
502, Tiger Taj Cafe ,Australia,0,3.2934,1,35,2.67
503, Burger Project - World Square ,Australia,0,1.9734,2,35,6
504, Broadway Crown ,Australia,0,3.2934,1,35,1
505, Pork Hub ,Australia,0,1.3134,1,35,6
506, Vietnamese Experience ,Australia,0,3.2934,5,35,5
507, Pokemeow Cafe ,Australia,0,3.2934,1,35,6
508, La Cachette Burgers & Pizza ,Australia,0,3.2934,1,35,1
509, Nth Degree Cafe ,Australia,0,0.6534,1732,35,4.07
510, Binge Cafe | Bar | Kitchen ,Australia,0,3.2934,749,35,3.77
511, Griddle King - Haymarket ,Australia,0,3.2934,552,35,3.38
512, Shanghai WangWang - RSL ,Australia,0,3.2934,665,35,3.54
513, Frothy ,Australia,0,3.2934,823,35,4.09
514, Ate 5 Cafe ,Australia,0,2.6334,207,35,3.48
515, Habibi Sweets ,Australia,0,2.6334,651,35,3.48
516, Fluid Espresso ,Australia,0,3.2934,74,35,3.83
517, Penny Lane Bar & Cafe - Kensington ,Australia,0,3.2934,230,35,3.71
518, Zhou Mum Cuisine ,Australia,0,3.2934,2,35,4.67
519, Time Square BBQ & Cafe ,Australia,0,1.3134,1,35,2
520, Green Valley Spices - Randwick ,Australia,0,3.2934,3,35,3.44
521, Wheres Wolli ,Australia,0,1.3134,2,35,3.5
522, Desserts & Burgers at Merchants of Ultimo ,Australia,0,2.6334,4,35,4.25
523, Local Mbassy ,Australia,0,2.6334,7,35,2.9
524, Top Choi Chinese Cuisine ,Australia,0,1.9734,1481,35,3.87
525, Taste of Spicy - Shudao ,Australia,0,3.2934,325,35,3.56
526, Mon Cha Cha- Mascot Central ,Australia,0,3.2934,451,35,3.89
527, E-Star Cafe Restaurant ,Australia,0,1.3134,378,35,3.77
528, Zey Coffee & Gozleme ,Australia,0,3.2934,145,35,4.71
529, The Gardener's Grill ,Australia,0,3.9534,505,35,4.05
530, Ice Cream by Peters - Erskineville ,Australia,0,1.9734,232,35,4.08
531, Tianti Books & Coffee Shop ,Australia,0,3.2934,2,35,2.84
532, Sichuan Grilled Fish ,Australia,0,3.2934,170,35,4.25
533, Cook & Archies Caffe ,Australia,0,3.2934,180,35,4.39
534, Eve's Bar ,Australia,0,0.6534,211,35,4.46
535, Pride Of Redfern ,Australia,0,3.2934,1075,35,4.99
536, Stag Burger - Coogee ,Australia,0,1.9734,35,35,4.44
537, Ocean Dragon Noodle House - Kingsford ,Australia,0,3.2934,182,35,4.6
538, Cupino Cafe ,Australia,0,3.2934,272,35,4.77
539, Mist Coffee ,Australia,0,3.9534,98,35,3.82
540, Sushi Dragon - Brighton-Le-Sands ,Australia,0,3.2934,133,35,4.92
541, Type B Cafe ,Australia,0,3.2934,523,35,4.67
542, Noble Roasters ,Australia,19.8,,335,35,4.85
543, Roll In & Out ,Australia,0,3.9534,249,35,3.41
544, Yifang Taiwan Fruit Tea Central ,Australia,0,0.6534,106,35,4.03
545, Oscar's Desserts ,Australia,0,0.6534,234,45,4.47
546, Watta Burrger - Alexandria ,Australia,0,3.2934,158,45,3.87
547, Steve Costi's Famous Burgers - Woollahra ,Australia,0,2.3034,98,40,3.95
548, Steve Costi's Famous Burger - Eveleigh ,Australia,0,2.6334,278,40,4.32
549, Mr. Stonepot & Fried Chicken ,Australia,0,2.6334,29,45,4.1
550, myCaviar Bar ,Australia,0,1.9734,15,40,3.96
551, Shalom Indonesian Restaurant - Mascot ,Australia,0,1.9734,193,40,4.45
552, One Pot - Sydney CBD ,Australia,0,1.9734,164,45,4
553, Mogu Mogu Oz ,Australia,0,3.2934,158,40,3.88
554, Immune Booster Station by T.M ,Australia,0,2.6334,85,35,5.36
555, Delhi 'O' Delhi Bites ,Australia,0,3.9534,51,35,4.95
556, Cambodge Cafe ,Australia,23.1,0,31,35,4.91
557, Black Velvet - Alexandria ,Australia,0,3.2934,42,35,5.25
558, Cielo Dessert Co ,Australia,0,3.9534,8,35,4.71
559, Taste Ireland ,Australia,0,3.927,21,35,5.17
560, Yun Nan Rice Noodle - Kingsford ,Australia,0,3.927,17,40,5.18
561, Cang - Mascot (NSW) ,Australia,0,2.3034,9,40,3.48
562, Cantonese Flavor ,Australia,0,2.3034,55,40,4.79
563, New Style Claypot ,Australia,0,3.927,92,40,3.91
564, Gotcha Fresh Tea - Broadway Uts ,Australia,0,3.927,139,45,4.32
565, Calico Cafe ,Australia,0,3.2934,39,40,3.68
566, Happy Cakes and Pastries ,Australia,0,3.927,28,40,4.1
567, New Hong Kong Cafe and Restaurant ,Australia,0,3.927,9,35,5.44
568, Hello Gyoza ,Australia,0,3.2934,50,45,4.03
569, Sushi Bar - Surry Hills ,Australia,0,3.2934,19,40,2.84
570, Taste of Chongqing ,Australia,0,3.2934,55,35,3.25
571, The Lunch Box Kafe - Rockdale ,Australia,0,3.2934,20,55,3
572, Mascot Chinese DIY ,Australia,0,3.2934,168,35,4.92
573, Zen Asian Supermarket ,Australia,0,3.2934,8,40,5.58
574, Mr & Mrs Beautea House - Haymarket ,Australia,0,3.2934,8,50,2.96
575, Qian Yuan BBQ - Haymarket ,Australia,0,3.9534,15,40,5.56
576, McDonald's - Maroubra ,Australia,0,5.907,3,40,4.33
577, McDonald's - Kingsford ,Australia,0,5.907,99,40,4.45
578, McDonald's - Green Square ,Australia,0,3.2934,9,40,5.7
579, McDonald's - Waterloo ,Australia,0,3.9534,13,45,5.49
580, McDonald's - Sydney Airport ,Australia,0,1.9734,16,35,4.94
581, McDonald's - Harbourside ,Australia,0,3.2934,3,45,2.22
582, McDonald's - Broadway ,Australia,0,3.2934,18,35,4.06
583, McDonald's - General Holmes Drive ,Australia,0,3.9534,7,50,2.95
584, McDonald's - Plaza ,Australia,16.5,,8,40,5.25
585, World of Wings - Ultimo ,Australia,0,3.2934,13,40,3.54
586, Ungki's - Ultimo ,Australia,0,3.2934,358,40,5.16
587, Legit Burgers - Ultimo ,Australia,0,2.6334,2,40,3.67
588, Big George's Burgers - Surry Hills ,Australia,0,3.2934,191,45,4.01
589, Absurd Bird - Surry Hills ,Australia,0,3.2934,118,35,4.79
590, World Of Wings - Surry Hills ,Australia,0,3.2934,34,45,5.34
591, Guzman y Gomez - GYG - Newtown ,Australia,0,3.9534,24,35,5.17
592, Guzman y Gomez - GYG - Broadway ,Australia,0,3.9534,92,35,5.13
593, KFC - Haymarket ,Australia,0,3.9534,55,35,4.75
594, KFC - Darling Harbour ,Australia,0,2.3034,178,35,4.69
595, Manoosh Pizzeria - Randwick ,Australia,0,3.9534,8,20,3.67
596, Grill'd - Darlinghurst ,Australia,0,0.6534,479,35,4.26
597, Mad Mex - Zetland ,Australia,0,3.2934,6,35,4.78
598, Mad Mex - UTS ,Australia,0,1.9734,58,45,4.53
599, Mad Mex - Randwick ,Australia,0,3.2934,67,45,4.42
600, Mad Mex - Crown St ,Australia,0,1.9734,16,35,4.54
601, Crust Pizza - Surry Hills ,Australia,0,3.2934,4,35,3.83
602, Made in Italy - Annandale ,Australia,0,3.9534,9,35,5
603, Andiamo Trattoria - Chippendale ,Australia,0,3.2934,424,35,4.07
604, Ogalo - Newtown ,Australia,0,1.9734,3,35,4.33
605, Ogalo - Marrickville ,Australia,0,3.2934,1586,35,5.04
606, Ogalo - City ,Australia,0,3.9534,2592,35,4.15
607, Subway - Surry Hills ,Australia,0,2.6334,2,35,6
608, Subway - Broadway ,Australia,0,0.6534,1101,35,3.84
609, Subway - Central ,Australia,0,1.9734,10,35,5.5
610, Subway - Randwick ,Australia,0,2.6334,506,35,4.69
611, Subway - Mascot ,Australia,16.434,,1730,35,4.73
612, Subway - Eastgardens ,Australia,0,3.2934,825,35,4.32
613, Couchfood - Bexley - Powered by BP ,Australia,0,1.9734,587,35,3.86
614, Oporto - Brighton Le Sands ,Australia,0,1.9734,202,35,4.85
615, Oporto - Newtown ,Australia,0,3.2934,1311,35,5.03
616, Oporto - Oxford Street ,Australia,9.9,0,277,20,4.71
617, Oporto - Waterloo ,Australia,9.9,3.267,1379,35,5.35
618, Chatime - Marrickville ,Australia,9.9,3.267,171,20,5.19
619, Ribs & Burgers - Zetland ,Australia,9.9,3.267,662,35,4.27
620, Ribs & Burgers - Randwick ,Australia,9.9,3.267,200,,5.25
621, Ribs & Burgers - Chippendale ,Australia,0,2.6334,62,,4.34
622, Fishbowl - Alexandria ,Australia,0,0.6534,970,,4.7
623, Fishbowl - Darlinghurst ,Australia,0,1.9734,667,,5.11
624, Fishbowl - The Exchange ,Australia,0,3.2934,299,,4.72
625, Fishbowl - South Eveleigh ,Australia,0,3.9534,1162,,4.55
626, Side Room - Alexandria ,Australia,0,1.9734,1865,,4.86
627, IGA - Rosebery ,Australia,0,3.9534,2,,6
628, The Secret Burger Co. ,Australia,0,3.9534,40,,5.17
629, Skina Cafe Bar ,Australia,0,3.9534,66,,3.51
630, Pizza Hut - Surry Hills ,Australia,0,0.6534,444,,5.18
631, Pizza Hut - Randwick ,Australia,0,0.6534,294,,4.11
632, Pizza Hut - Mascot ,Australia,0,3.9534,610,,4.98
633, Pizza Hut Waterloo ,Australia,0,3.2934,27,,4.83
634, Zeus Street Greek - Surry Hills ,Australia,0,0,165,,4.93
635, Soul Origin - Eastgardens Westfield ,Australia,0,3.2934,129,,5.13
636, Domino's - Marrickville ,Australia,19.8,,160,,4.57
637, Domino's - Redfern ,Australia,0,1.9734,97,,4.87
638, Domino's - Mascot ,Australia,0,3.2934,43,,4.76
639, Domino's - Zetland ,Australia,0,3.2934,6,,5.39
640, Krispy Kreme - Central Lee Street ,Australia,0,3.2934,14,,5.12
641, Crown Square Convenience Store ,Australia,0,3.2934,10,,5.27
642, Dr. Hempire ,Australia,0,3.2934,16,,5.58
643, Sharetea - Haymarket ,Australia,0,3.2934,166,,5.18
644, Sushi Hub - 631 George Street ,Australia,0,1.9734,264,,4.91
645, Soul Burger - Newtown ,Australia,19.8,,264,,5.14
646, Christopher's Cake Shop - Eastgardens ,Australia,0,1.9734,202,,4.54
647, Christopher's Cake Shop - Randwick ,Australia,0,1.9734,347,,4.28
648, Christopher's Cake Shop - Surry Hills ,Australia,0,1.9734,230,,4.73
649, Ezymart - Pitt St ,Australia,0,3.2934,11,,6
650, EzyMart - Flinders Street ,Australia,0,2.6334,141,,4.48
651, Ben & Jerry's + Magnum Store - Darlinghurst ,Australia,0,1.9734,22,,4.49
652, Oliver Brown - Haymarket ,Australia,,,112,,5.23
653, Dumpling Paradise - Enmore ,Australia,,,63,,5.23
654, The Pink Thai Bistro ,Australia,,,80,,5.39
655, Fresh Curry Hub ,Australia,,,15,,5.56
656, Indian and Pakistani Cuisine ,Australia,,,345,,4.92
657, Milk Bar by Cafe Ish ,Australia,,,20,,5.02
658, Aree Thai Twist ,Australia,,,193,,5.09
659, Ramen Goku ,Australia,,,13,,3.51
660, Jack's Pizzas ,Australia,,,11,,4.94
661, Sushi Bar Rashai ,Australia,,,24,,4.01
662, Bistro On The Greens ,Australia,,,208,,4.94
663, Mand's Indian Restaurant ,Australia,,,74,,5.23
664, Shanghai1984 Dumplings Bar - Enmore ,Australia,,,22,,5.2
665, Blue Flame Pakistani and Indian Restaurant ,Australia,,,8,,4.96
666, On Rice ,Australia,,,145,,4.52
667, Mr. Crackles - Newtown ,Australia,,,271,,4.81
668, Flying Tong - Newtown ,Australia,,,176,,5.58
669, Pizze Baby ,Australia,,,4,,5.67
670, Calle Rey ,Australia,,,40,,5.43
671, Super Nash Brothers - Waterloo ,Australia,,,77,,5.13
672, McDonald's - Eastgardens ,Australia,,,987,,4.62
673, Fishwave - Oxford ,Australia,,,30,,4.83
674, Saray Turkish Pizza and Kebabs ,Australia,,,139,,4.97
675, Hungry Jack's - St Peters ,Australia,,,83,,4.57
676, Krisco By Rkstars ,Australia,,,555,,4.8
677, KFC - Randwick ,Australia,,,6,,5.45
678, Mascot Chinese Takeaway ,Australia,,,27,,4.67
679, Yeah Birdy - Moore Park Rd ,Australia,,,1,,2
680, Kebab in Maroubra ,Australia,,,9,,4.15
681, Sesame Street ,Australia,,,183,,5.05
682, Kammadhenu - Newtown ,Australia,,,1,,5
683, Mad Burger - Waterloo ,Australia,,,58,,4.75
684, Al Hassan Coffee and Nuts ,Australia,,,55,,4.7
685, Chat Thai - Randwick ,Australia,,,207,,4.61
686, Taco Bell - Green Square ,Australia,,,239,,5.1
687, Ben & Jerry's + Magnum - Botany Road Mascot ,Australia,,,340,,4.61
688, Maroubra Charcoal Chickens and Burgers ,Australia,,,18,,5.09
689, New Hung Cheung Restaurant ,Australia,,,34,,4.6
690, Number One Kebabs ,Australia,,,2,,3.67
691, The Sultan's Table ,Australia,,,10,,4.93
692, Leichhardt Espresso ,Australia,,,3,,4.67
693, Sushi Bar - Marrickville ,Australia,,,406,,4.34
694, Allspice Thai Kitchen ,Australia,,,23,,4.43
695, Dulwich Hill Addison Chinese Food ,Australia,,,11,,4.58
696, Oishi Sushi Bento Bar - Marrickville ,Australia,,,6,,4.89
697, Chargrill Charlie's - Annandale ,Australia,,,57,,5
698, UMAYA - World Square ,Australia,,,4,,2.92
699, Origano Pizza by Wood Fire ,Australia,,,26,,5.4
700, Brothers Kebabs ,Australia,,,45,,4.4
701, Hiraethe Cafe ,Australia,,,128,,5.05
702, Planet Pizza - Glebe ,Australia,,,263,,4.61
703, To Thai For ,Australia,,,120,,4.22
704, Coffee Hub - World Square ,Australia,,,33,,5.34
705, Thai by the Beach Restaurant ,Australia,,,36,,5.22
706, Amore Espresso ,Australia,,,327,,5.05
707, Bombay Tandoori ,Australia,,,183,,4.61
708, Shaahi Tandoori ,Australia,,,10,,3.5
709, Rossini Mediterranean By Bill ,Australia,,,188,,4.76
710, Chatime - Eastgardens ,Australia,,,23,,5.01
711, Deccan Flavours - Redfern ,Australia,,,3,,4.89
712, Dim Sim House ,Australia,,,221,,4.51
713, Mr Q’s Restaurant - Chinese Takeaway ,Australia,,,25,,4.64
714, Oporto - Eastgardens ,Australia,,,45,,4.04
715, Victoria Park Supermarket ,Australia,,,132,,5.07
716, Taste of Thai ,Australia,,,18,,3.57
717, Burgers on Glebe ,Australia,,,310,,4.99
718, Eksentrik Cafe ,Australia,,,135,,5.04
719, The Fish Market At Maroubra ,Australia,,,79,,4.88
720, Phed Phed ,Australia,,,138,,4.89
721, Epic Pizza - Enmore ,Australia,,,30,,4.52
722, Ogalo - Mascot ,Australia,,,51,,4.97
723, Gozleme Eats ,Australia,,,7,,3.86
724, Go Fresh Vietnamese Takeaway - Newtown ,Australia,,,424,,4.77
725, Vinfafe ,Australia,,,403,,4.64
726, The Pig & Pastry ,Australia,,,59,,5.28
727, Urban Thai - Enmore ,Australia,,,26,,4.96
728, Minh Vietnamese Restaurant ,Australia,,,125,,4.45
729, Golden Pide ,Australia,,,112,,4.59
730, Mascot Kebab ,Australia,,,12,,5.89
731, Sushi Train - Maroubra ,Australia,,,26,,4.59
732, Guzman y Gomez - GYG - World Square ,Australia,,,26,,5.17
733, Mom's Chicken Korean ,Australia,,,15,,4.93
734, Kiroran Silk Road Uyghur Restaurant ,Australia,,,116,,5.42
735, Pepper Pizza ,Australia,,,33,,4.33
736, Couchfood - St Peters - Powered by BP ,Australia,,,116,,4.72
737, FOODT3PP ,Australia,,,216,,5.23
738, Harry's Pasta Bar ,Australia,,,318,,3.99
739, Sushi Hub - 815 George Street Central ,Australia,,,1,,5.33
740, Son of A Baker - Botany ,Australia,,,32,,4.15
741, Faheem Fast Food ,Australia,,,39,,4.81
742, 85 Degrees Café Central Park ,Australia,,,9,,4.85
743, Grilled Korean BBQ ,Australia,,,4,,5.58
744, Boost Juice - Broadway ,Australia,,,41,,4.28
745, Schnitz N Bitz ,Australia,,,21,,5.25
746, Mad Mex - Eastgardens ,Australia,,,147,,4.8
747, New Hung Cheung Seafood Restaurant ,Australia,,,32,,5
748, Charcoal Kingdom - Rockdale ,Australia,,,38,,4.84
749, Cafe The Beans ,Australia,,,15,,5.42
750, Dulwich Hill Burger and Gozleme House ,Australia,,,200,,5.32
751, Kebabs on Glebe ,Australia,,,110,,5.09
752, Ajisen Ramen Japanese Restaurant ,Australia,,,35,,4.44
753, Vina Vegan Restaurant ,Australia,,,434,,5.2
754, 1915 Halal Lanzhou Beef Noodle - CBD ,Australia,,,3,,3.78
755, Gong Cha - Maroubra ,Australia,,,2,,1.67
756, Little Momo ,Australia,,,26,,5.09
757, Thai Riffic - Newtown ,Australia,,,76,,3.51
758, Sugarbaby Cafe - Randwick ,Australia,,,4,,4.83
759, Tandoori Express - Newtown ,Australia,,,126,,4.83
760, Chargrill Chooks ,Australia,,,149,,4.73
761, Curry King Express Maroubra ,Australia,,,82,,5.19
762, The Matraville Hotel ,Australia,,,1,,6
763, Thai Thae - Mascot ,Australia,,,3,,3.22
764, Dopa by Devon ,Australia,,,139,,5.1
765, Taco Loco - Newtown ,Australia,,,40,,4.85
766, The Hub House Diner - Dulwich Hill ,Australia,,,39,,4.09
767, MingFu Stir-Fry Restaurant ,Australia,,,35,,4.76
768, Shiba's Kitchen ,Australia,,,44,,5.75
769, O'le - Rosebery ,Australia,,,20,,4.53
770, Thirsty Bird - Newtown ,Australia,,,3,,4.11
771, Dulwich Hill Kebab Pide House ,Australia,,,437,,4.57
772, Phillies - Brighton ,Australia,,,19,,4.89
773, At Thai Takeaway ,Australia,,,4,,4.17
774, Steve Costi's Seafood - Woollahra ,Australia,,,22,,4.94
775, Metro Petroleum - Alexandria ,Australia,,,3,,4.89
776, Fernside Coffee ,Australia,,,83,,5.29
777, Ben & Jerry's - Enmore Rd ,Australia,,,4,,2.67
778, Torino Pizzeria ,Australia,,,10,,4.1
779, Charmhor ,Australia,,,11,,5.18
780, Jiang Nan Gallery ,Australia,,,1,,1.67
781, Mr XiaoMian Noodle Bar ,Australia,,,1,,6
782, The Fold. Sri Lankan Inspired ,Australia,,,82,,4.95
783, Ungki's - Alexandria ,Australia,,,78,,5.24
784, The Tinhorn ,Australia,,,106,,4.85
785, Blum Bar ,Australia,,,26,,3.01
786, Donburo ,Australia,,,23,,4.07
787, Subway - USYD ,Australia,,,57,,5.2
788, Blue Elephant Thai ,Australia,,,146,,4.7
789, Nanjing Dumpling ,Australia,,,12,,4.94
790, Made in Italy - Alexandria ,Australia,,,864,,4.83
791, Huxtaburger - Redfern ,Australia,,,27,,4.4
792, Sushi Tengoku ,Australia,,,28,,4.2
793, Sharetea - East Village ,Australia,,,12,,5.75
794, Mr Nam Authentic Vietnamese ,Australia,,,5,,6
795, Woodfired In & Out Pizza ,Australia,,,2,,5.17
796, My Modern Fresh Tea & Yogurt - Mascot ,Australia,,,4,,4.5
797, Xing Fu Tang - Haymarket ,Australia,,,38,,4.41
798, Tropicana ,Australia,,,5,,2.47
799, Chinese North Dumpling Noodle House - Alexandria ,Australia,,,5,,5.07
800, HOYTS - Eastgardens ,Australia,,,7,,5.62
801, Flave - Newtown ,Australia,,,9,,5.56
802, The Eate ,Australia,,,9,,4.81
803, Delicious Chinese Restaurant ,Australia,,,2,,4.67
